CMDLINE /usr/bin/python3 main.py
MEM 1642.519531 1736311828.9064
MEM 1643.519531 1736311829.0067
MEM 2040.644531 1736311829.1089
MEM 2040.644531 1736311829.2106
MEM 2728.144531 1736311829.3117
MEM 2608.710938 1736311829.4121
MEM 2064.195312 1736311829.5132
MEM 2923.570312 1736311829.6145
MEM 2345.496094 1736311829.7150
MEM 1643.574219 1736311829.8153
MEM 1661.824219 1736311829.9156
MEM 1661.949219 1736311830.0160
MEM 1678.824219 1736311830.1163
MEM 1680.074219 1736311830.2166
MEM 1681.199219 1736311830.3170
MEM 1695.949219 1736311830.4173
MEM 1695.949219 1736311830.5176
MEM 1695.949219 1736311830.6180
MEM 1695.949219 1736311830.7186
MEM 1695.949219 1736311830.8194
MEM 1697.074219 1736311830.9197
MEM 2094.199219 1736311831.0220
MEM 2094.199219 1736311831.1238
MEM 2736.324219 1736311831.2250
MEM 2736.589844 1736311831.3254
MEM 2112.363281 1736311831.4258
MEM 2947.605469 1736311831.5270
MEM 2415.515625 1736311831.6274
MEM 1697.359375 1736311831.7277
MEM 1713.734375 1736311831.8281
MEM 1713.734375 1736311831.9284
MEM 1730.609375 1736311832.0287
MEM 1731.609375 1736311832.1290
MEM 1734.234375 1736311832.2294
MEM 1749.234375 1736311832.3298
MEM 1749.234375 1736311832.4306
MEM 1749.234375 1736311832.5310
MEM 1749.234375 1736311832.6313
MEM 1749.234375 1736311832.7316
MEM 1749.234375 1736311832.8320
MEM 1969.859375 1736311832.9330
MEM 2147.234375 1736311833.0353
MEM 2543.984375 1736311833.1359
MEM 2825.828125 1736311833.2372
MEM 2525.773438 1736311833.3376
MEM 2826.429688 1736311833.4386
MEM 2903.433594 1736311833.5396
MEM 1750.433594 1736311833.6399
MEM 1750.558594 1736311833.7402
MEM 1767.308594 1736311833.8407
MEM 1784.058594 1736311833.9410
MEM 1785.058594 1736311834.0413
MEM 1787.808594 1736311834.1416
MEM 1802.808594 1736311834.2420
MEM 1802.808594 1736311834.3424
MEM 1802.808594 1736311834.4428
MEM 1802.808594 1736311834.5432
MEM 1802.808594 1736311834.6435
MEM 1802.808594 1736311834.7438
MEM 2025.683594 1736311834.8446
MEM 2201.058594 1736311834.9452
MEM 2643.808594 1736311835.0463
MEM 2929.230469 1736311835.1475
MEM 2594.925781 1736311835.2480
MEM 2859.957031 1736311835.3487
MEM 3073.804688 1736311835.4492
MEM 1803.960938 1736311835.5495
MEM 1803.960938 1736311835.6498
MEM 1820.585938 1736311835.7503
MEM 1837.210938 1736311835.8507
MEM 1838.210938 1736311835.9510
MEM 1841.210938 1736311836.0514
MEM 1856.085938 1736311836.1517
MEM 1856.210938 1736311836.2520
MEM 1856.210938 1736311836.3523
MEM 1856.210938 1736311836.4527
MEM 1856.210938 1736311836.5532
MEM 1856.210938 1736311836.6537
MEM 1857.210938 1736311836.7540
MEM 2254.460938 1736311836.8557
MEM 2254.460938 1736311836.9572
MEM 2909.335938 1736311837.0586
MEM 2783.140625 1736311837.1591
MEM 2288.804688 1736311837.2600
MEM 3112.804688 1736311837.3613
MEM 2515.375000 1736311837.4617
MEM 1857.453125 1736311837.5621
MEM 1870.828125 1736311837.6624
MEM 1874.203125 1736311837.7628
MEM 1890.953125 1736311837.8634
MEM 1891.953125 1736311837.9639
MEM 1894.703125 1736311838.0642
MEM 1909.578125 1736311838.1646
MEM 1909.578125 1736311838.2650
MEM 1909.578125 1736311838.3654
MEM 1909.578125 1736311838.4658
MEM 1909.578125 1736311838.5662
MEM 1909.578125 1736311838.6665
MEM 1910.703125 1736311838.7668
MEM 2307.828125 1736311838.8690
MEM 2307.828125 1736311838.9711
MEM 2921.078125 1736311839.0724
MEM 3067.867188 1736311839.1727
MEM 2515.398438 1736311839.2731
MEM 3091.726562 1736311839.3748
MEM 3203.074219 1736311839.4753
MEM 1911.230469 1736311839.5758
MEM 1911.230469 1736311839.6761
MEM 1927.855469 1736311839.7764
MEM 1928.730469 1736311839.8768
MEM 1945.105469 1736311839.9771
MEM 1948.355469 1736311840.0774
MEM 1948.355469 1736311840.1777
MEM 1963.355469 1736311840.2780
MEM 1963.355469 1736311840.3784
MEM 1963.355469 1736311840.4787
MEM 1963.355469 1736311840.5790
MEM 1963.355469 1736311840.6794
MEM 1963.355469 1736311840.7803
MEM 1963.355469 1736311840.8807
MEM 2192.105469 1736311840.9814
MEM 2361.355469 1736311841.0835
MEM 2654.105469 1736311841.1852
MEM 2896.671875 1736311841.2867
MEM 2566.617188 1736311841.3879
MEM 2862.648438 1736311841.4888
MEM 3438.472656 1736311841.5891
MEM 1964.277344 1736311841.6894
MEM 1964.277344 1736311841.7897
MEM 1982.027344 1736311841.8901
MEM 1983.027344 1736311841.9904
MEM 1999.402344 1736311842.0907
MEM 2001.527344 1736311842.1911
MEM 2001.527344 1736311842.2915
MEM 2016.527344 1736311842.3919
MEM 2016.527344 1736311842.4923
MEM 2016.527344 1736311842.5926
MEM 2016.527344 1736311842.6929
MEM 2016.527344 1736311842.7932
MEM 2016.527344 1736311842.8935
MEM 2017.652344 1736311842.9939
MEM 2414.777344 1736311843.0961
MEM 2664.152344 1736311843.1974
MEM 2948.441406 1736311843.2991
MEM 2525.636719 1736311843.4004
MEM 2931.292969 1736311843.5013
MEM 3297.640625 1736311843.6016
MEM 2017.796875 1736311843.7019
MEM 2017.796875 1736311843.8023
MEM 2035.546875 1736311843.9044
MEM 2036.796875 1736311844.0050
MEM 2052.671875 1736311844.1054
MEM 2055.046875 1736311844.2057
MEM 2055.046875 1736311844.3060
MEM 2070.046875 1736311844.4064
MEM 2070.046875 1736311844.5067
MEM 2070.046875 1736311844.6071
MEM 2070.046875 1736311844.7076
MEM 2070.046875 1736311844.8080
MEM 2070.046875 1736311844.9083
MEM 2071.171875 1736311845.0086
MEM 2468.546875 1736311845.1114
MEM 2468.546875 1736311845.2131
MEM 3035.125000 1736311845.3136
MEM 2624.906250 1736311845.4148
MEM 3018.312500 1736311845.5156
MEM 3391.035156 1736311845.6160
MEM 2071.191406 1736311845.7164
MEM 2071.191406 1736311845.8167
MEM 2088.941406 1736311845.9170
MEM 2105.566406 1736311846.0173
MEM 2106.441406 1736311846.1178
MEM 2108.191406 1736311846.2181
MEM 2122.816406 1736311846.3184
MEM 2122.941406 1736311846.4188
MEM 2122.941406 1736311846.5192
MEM 2122.941406 1736311846.6195
MEM 2122.941406 1736311846.7199
MEM 2122.941406 1736311846.8203
MEM 2124.066406 1736311846.9206
MEM 2521.316406 1736311847.0229
MEM 2573.316406 1736311847.1242
MEM 3087.929688 1736311847.2246
MEM 2880.289062 1736311847.3253
MEM 2804.554688 1736311847.4257
MEM 2965.117188 1736311847.5274
MEM 3541.367188 1736311847.6293
MEM 2919.128906 1736311847.7298
MEM 2124.324219 1736311847.8301
MEM 2124.324219 1736311847.9304
MEM 2142.074219 1736311848.0331
MEM 2143.949219 1736311848.1334
MEM 2159.574219 1736311848.2337
MEM 2161.449219 1736311848.3340
MEM 2176.199219 1736311848.4344
MEM 2176.199219 1736311848.5349
MEM 2176.199219 1736311848.6353
MEM 2176.199219 1736311848.7357
MEM 2176.199219 1736311848.8361
MEM 2176.199219 1736311848.9364
MEM 2176.199219 1736311849.0368
MEM 2385.074219 1736311849.1377
MEM 2574.074219 1736311849.2384
MEM 2944.699219 1736311849.3391
MEM 3245.886719 1736311849.4403
MEM 2819.417969 1736311849.5407
MEM 3263.613281 1736311849.6414
MEM 3537.664062 1736311849.7418
MEM 2177.117188 1736311849.8422
MEM 2177.117188 1736311849.9425
MEM 2197.367188 1736311850.0428
MEM 2198.867188 1736311850.1432
MEM 2214.742188 1736311850.2435
MEM 2216.492188 1736311850.3438
MEM 2231.242188 1736311850.4442
MEM 2231.242188 1736311850.5445
MEM 2231.242188 1736311850.6448
MEM 2231.242188 1736311850.7452
MEM 2231.242188 1736311850.8456
MEM 2231.242188 1736311850.9459
MEM 2231.242188 1736311851.0462
MEM 2450.617188 1736311851.1472
MEM 2629.242188 1736311851.2488
MEM 3223.367188 1736311851.3501
MEM 3171.261719 1736311851.4504
MEM 2794.871094 1736311851.5516
MEM 3721.621094 1736311851.6529
MEM 2232.375000 1736311851.7533
MEM 2232.375000 1736311851.8536
MEM 2251.625000 1736311851.9541
MEM 2265.125000 1736311852.0545
MEM 2269.125000 1736311852.1547
MEM 2270.750000 1736311852.2550
MEM 2285.500000 1736311852.3553
MEM 2285.500000 1736311852.4557
MEM 2285.500000 1736311852.5562
MEM 2285.500000 1736311852.6568
MEM 2285.500000 1736311852.7572
MEM 2285.500000 1736311852.8575
MEM 2286.500000 1736311852.9581
MEM 2683.625000 1736311853.0604
MEM 2683.625000 1736311853.1624
MEM 3206.125000 1736311853.2641
MEM 3244.945312 1736311853.3656
MEM 2872.515625 1736311853.4668
MEM 3245.171875 1736311853.5678
MEM 3566.644531 1736311853.6682
MEM 2286.800781 1736311853.7685
MEM 2286.800781 1736311853.8688
MEM 2302.550781 1736311853.9690
MEM 2317.175781 1736311854.0693
MEM 2319.925781 1736311854.1696
MEM 2321.800781 1736311854.2699
MEM 2336.425781 1736311854.3702
MEM 2336.425781 1736311854.4705
MEM 2336.425781 1736311854.5708
MEM 2336.425781 1736311854.6711
MEM 2336.425781 1736311854.7715
MEM 2336.425781 1736311854.8719
MEM 2336.925781 1736311854.9722
MEM 2717.675781 1736311855.0729
MEM 2734.550781 1736311855.1746
MEM 3221.175781 1736311855.2762
MEM 3348.363281 1736311855.3779
MEM 2812.933594 1736311855.4797
MEM 3084.339844 1736311855.5809
MEM 3853.464844 1736311855.6826
MEM 2337.718750 1736311855.7830
MEM 2337.718750 1736311855.8834
MEM 2356.968750 1736311855.9837
MEM 2358.343750 1736311856.0840
MEM 2374.218750 1736311856.1843
MEM 2376.343750 1736311856.2846
MEM 2384.843750 1736311856.3849
MEM 2391.093750 1736311856.4851
MEM 2391.093750 1736311856.5856
MEM 2391.093750 1736311856.6860
MEM 2391.093750 1736311856.7863
MEM 2391.093750 1736311856.8866
MEM 2391.093750 1736311856.9870
MEM 2391.968750 1736311857.0873
MEM 2788.843750 1736311857.1896
MEM 2838.468750 1736311857.2906
MEM 3235.308594 1736311857.3920
MEM 3073.378906 1736311857.4934
MEM 3497.785156 1736311857.5946
MEM 3676.824219 1736311857.6950
MEM 2392.042969 1736311857.7953
MEM 2392.042969 1736311857.8957
MEM 2407.542969 1736311857.9960
MEM 2424.042969 1736311858.0963
MEM 2424.917969 1736311858.1966
MEM 2426.667969 1736311858.2970
MEM 2441.417969 1736311858.3973
MEM 2441.417969 1736311858.4976
MEM 2441.417969 1736311858.5980
MEM 2441.417969 1736311858.6984
MEM 2441.417969 1736311858.7987
MEM 2441.417969 1736311858.8989
MEM 2441.417969 1736311858.9992
MEM 2443.792969 1736311859.0998
MEM 2839.417969 1736311859.2019
MEM 2839.417969 1736311859.3060
MEM 3212.792969 1736311859.4073
MEM 3292.503906 1736311859.5077
MEM 3236.519531 1736311859.6081
MEM 3085.019531 1736311859.7084
MEM 3336.839844 1736311859.8095
FUNC utils.gp_utils.evaluate_gp_model 530.9023 1736311805.1090 531.9023 1736311805.1153 0
FUNC utils.gp_utils.evaluate_gp_model 532.2773 1736311805.1161 932.3906 1736311805.8730 0
FUNC utils.gp_utils.evaluate_gp_model 989.0078 1736311806.9663 989.1328 1736311806.9701 0
FUNC utils.gp_utils.evaluate_gp_model 989.1328 1736311806.9708 1392.1367 1736311807.6276 0
FUNC utils.gp_utils.evaluate_gp_model 1057.8008 1736311808.5419 1057.8008 1736311808.5457 0
FUNC utils.gp_utils.evaluate_gp_model 1057.8008 1736311808.5463 1454.8047 1736311809.2050 0
FUNC utils.gp_utils.evaluate_gp_model 1111.2188 1736311810.1719 1111.2188 1736311810.1753 0
FUNC utils.gp_utils.evaluate_gp_model 1111.2188 1736311810.1758 1508.4961 1736311810.8255 0
FUNC utils.gp_utils.evaluate_gp_model 1164.5352 1736311811.7818 1164.5352 1736311811.7853 0
FUNC utils.gp_utils.evaluate_gp_model 1164.5352 1736311811.7861 1561.8711 1736311812.4322 0
FUNC utils.gp_utils.evaluate_gp_model 1218.4102 1736311813.4324 1218.4102 1736311813.4360 0
FUNC utils.gp_utils.evaluate_gp_model 1218.4102 1736311813.4366 1615.3750 1736311814.1051 0
FUNC utils.gp_utils.evaluate_gp_model 1271.2891 1736311815.0816 1271.2891 1736311815.0849 0
FUNC utils.gp_utils.evaluate_gp_model 1271.2891 1736311815.0856 1668.4844 1736311815.7296 0
FUNC utils.gp_utils.evaluate_gp_model 1324.5234 1736311816.7183 1324.5234 1736311816.7219 0
FUNC utils.gp_utils.evaluate_gp_model 1324.5234 1736311816.7224 1721.5000 1736311817.3988 0
FUNC utils.gp_utils.evaluate_gp_model 1377.7891 1736311818.5129 1377.7891 1736311818.5167 0
FUNC utils.gp_utils.evaluate_gp_model 1377.7891 1736311818.5173 1775.2188 1736311819.2300 0
FUNC utils.gp_utils.evaluate_gp_model 1431.7578 1736311820.3606 1431.7578 1736311820.3644 0
FUNC utils.gp_utils.evaluate_gp_model 1431.7578 1736311820.3652 1828.7461 1736311821.1012 0
FUNC utils.gp_utils.evaluate_gp_model 1484.2852 1736311822.2229 1484.2852 1736311822.2265 0
FUNC utils.gp_utils.evaluate_gp_model 1484.2852 1736311822.2272 1881.6641 1736311822.9490 0
FUNC utils.gp_utils.evaluate_gp_model 1537.5781 1736311824.1631 1537.5781 1736311824.1682 0
FUNC utils.gp_utils.evaluate_gp_model 1537.5781 1736311824.1694 1934.4219 1736311825.2625 0
FUNC utils.gp_utils.evaluate_gp_model 1590.3359 1736311826.7228 1590.3359 1736311826.7265 0
FUNC utils.gp_utils.evaluate_gp_model 1590.3359 1736311826.7274 1987.3086 1736311827.7511 0
FUNC utils.gp_utils.evaluate_gp_model 1643.5195 1736311828.9995 1643.5195 1736311829.0037 0
FUNC utils.gp_utils.evaluate_gp_model 1643.5195 1736311829.0044 2040.5352 1736311829.7320 0
FUNC utils.gp_utils.evaluate_gp_model 1697.0742 1736311830.9123 1697.0742 1736311830.9163 0
FUNC utils.gp_utils.evaluate_gp_model 1697.0742 1736311830.9170 2094.3203 1736311831.6451 0
FUNC utils.gp_utils.evaluate_gp_model 1750.3594 1736311832.8556 1750.3594 1736311832.8593 0
FUNC utils.gp_utils.evaluate_gp_model 1750.3594 1736311832.8601 2147.3945 1736311833.5792 0
FUNC utils.gp_utils.evaluate_gp_model 1803.8086 1736311834.7629 1803.8086 1736311834.7666 0
FUNC utils.gp_utils.evaluate_gp_model 1803.8086 1736311834.7673 2200.9219 1736311835.4971 0
FUNC utils.gp_utils.evaluate_gp_model 1857.2109 1736311836.7430 1857.2109 1736311836.7465 0
FUNC utils.gp_utils.evaluate_gp_model 1857.2109 1736311836.7471 2254.4141 1736311837.4774 0
FUNC utils.gp_utils.evaluate_gp_model 1910.7031 1736311838.7415 1910.7031 1736311838.7460 0
FUNC utils.gp_utils.evaluate_gp_model 1910.7031 1736311838.7467 2308.1914 1736311839.5258 0
FUNC utils.gp_utils.evaluate_gp_model 1964.4805 1736311840.8938 1964.4805 1736311840.8995 0
FUNC utils.gp_utils.evaluate_gp_model 1964.4805 1736311840.9004 2361.2383 1736311841.6644 0
FUNC utils.gp_utils.evaluate_gp_model 2017.6523 1736311842.9460 2017.6523 1736311842.9495 0
FUNC utils.gp_utils.evaluate_gp_model 2017.6523 1736311842.9501 2414.7578 1736311843.6423 0
FUNC utils.gp_utils.evaluate_gp_model 2071.1719 1736311844.9589 2071.1719 1736311844.9631 0
FUNC utils.gp_utils.evaluate_gp_model 2071.1719 1736311844.9638 2468.1523 1736311845.6628 0
FUNC utils.gp_utils.evaluate_gp_model 2124.0664 1736311846.8873 2124.0664 1736311846.8911 0
FUNC utils.gp_utils.evaluate_gp_model 2124.0664 1736311846.8917 2521.2852 1736311847.7601 0
FUNC utils.gp_utils.evaluate_gp_model 2177.0742 1736311849.0617 2177.0742 1736311849.0659 0
FUNC utils.gp_utils.evaluate_gp_model 2177.0742 1736311849.0666 2574.0781 1736311849.7866 0
FUNC utils.gp_utils.evaluate_gp_model 2232.2422 1736311851.0733 2232.2422 1736311851.0765 0
FUNC utils.gp_utils.evaluate_gp_model 2232.2422 1736311851.0772 2629.3359 1736311851.7213 0
FUNC utils.gp_utils.evaluate_gp_model 2286.5000 1736311852.9419 2286.5000 1736311852.9463 0
FUNC utils.gp_utils.evaluate_gp_model 2286.5000 1736311852.9471 2683.7617 1736311853.7140 0
FUNC utils.gp_utils.evaluate_gp_model 2337.5508 1736311854.9769 2337.5508 1736311854.9809 0
FUNC utils.gp_utils.evaluate_gp_model 2337.5508 1736311854.9816 2734.6797 1736311855.7562 0
FUNC utils.gp_utils.evaluate_gp_model 2391.9688 1736311857.0565 2391.9688 1736311857.0605 0
FUNC utils.gp_utils.evaluate_gp_model 2391.9688 1736311857.0614 2789.0039 1736311857.7501 0
FUNC utils.gp_utils.evaluate_gp_model 2442.5430 1736311859.0401 2442.5430 1736311859.0443 0
FUNC utils.gp_utils.evaluate_gp_model 2442.5430 1736311859.0450 2839.6484 1736311859.9265 0
